income,age,sex,occupation
0,39,0,Adm-clerical
0,50,0,Exec-managerial
0,38,0,Handlers-cleaners
0,53,0,Handlers-cleaners
0,28,1,Prof-specialty
0,37,1,Exec-managerial
0,49,1,Other-service
1,52,0,Exec-managerial
1,31,1,Prof-specialty
1,42,0,Exec-managerial
1,37,0,Exec-managerial
1,30,0,Prof-specialty
0,23,1,Adm-clerical
0,32,0,Sales
1,40,0,Craft-repair
0,34,0,Transport-moving
0,25,0,Farming-fishing
0,32,0,Machine-op-inspct
0,38,0,Sales
1,43,1,Exec-managerial
1,40,0,Prof-specialty
0,54,1,Other-service
0,35,0,Farming-fishing
0,43,0,Transport-moving
0,59,1,Tech-support
1,56,0,Tech-support
0,19,0,Craft-repair
1,54,0,?
0,39,0,Exec-managerial
0,49,0,Craft-repair
0,23,0,Protective-serv
0,20,0,Sales
0,45,0,Exec-managerial
0,30,0,Adm-clerical
0,22,0,Other-service
0,48,0,Machine-op-inspct
0,21,0,Machine-op-inspct
0,19,1,Adm-clerical
1,31,0,Sales
0,48,0,Prof-specialty
0,31,0,Machine-op-inspct
0,53,0,Prof-specialty
0,24,0,Tech-support
0,49,1,Adm-clerical
0,25,0,Handlers-cleaners
1,57,0,Prof-specialty
0,53,0,Machine-op-inspct
0,44,1,Exec-managerial
0,41,0,Craft-repair
0,29,0,Prof-specialty
0,25,1,Exec-managerial
0,18,1,Other-service
1,47,1,Prof-specialty
1,50,0,Exec-managerial
0,47,0,Exec-managerial
1,43,0,Tech-support
0,46,0,Machine-op-inspct
0,35,0,Other-service
0,41,0,Adm-clerical
0,30,0,Machine-op-inspct
0,30,0,Sales
0,32,0,?
0,48,0,Transport-moving
1,42,0,Prof-specialty
0,29,0,Tech-support
0,36,0,Craft-repair
0,28,1,Adm-clerical
1,53,1,Adm-clerical
1,49,0,Exec-managerial
0,25,0,?
0,19,0,Prof-specialty
0,31,1,Sales
1,29,0,Sales
0,23,0,Machine-op-inspct
0,79,0,Prof-specialty
0,27,0,Other-service
0,40,0,Adm-clerical
0,67,0,?
0,18,1,Other-service
0,31,0,Farming-fishing
0,18,0,Sales
0,52,0,Other-service
0,46,1,Other-service
0,59,0,Sales
1,44,1,Craft-repair
0,53,1,Sales
1,49,0,Protective-serv
0,33,0,Prof-specialty
0,30,0,Sales
1,43,1,Prof-specialty
0,57,0,Prof-specialty
0,37,1,Craft-repair
0,28,1,Machine-op-inspct
0,30,1,Sales
1,34,0,Protective-serv
0,29,0,Handlers-cleaners
1,48,0,Prof-specialty
1,37,0,Sales
0,48,1,Exec-managerial
0,32,0,Other-service
1,76,0,Exec-managerial
1,44,0,Exec-managerial
0,47,1,Prof-specialty
0,20,1,Tech-support
0,29,0,Craft-repair
1,32,0,Craft-repair
0,17,1,?
0,30,0,Handlers-cleaners
0,31,1,Adm-clerical
0,42,0,Handlers-cleaners
0,24,0,Sales
1,38,0,Prof-specialty
1,56,0,Other-service
0,28,1,Sales
0,36,1,Machine-op-inspct
0,53,0,Handlers-cleaners
0,56,0,Sales
1,49,0,Craft-repair
0,55,0,Sales
0,22,0,Craft-repair
0,21,1,Other-service
0,40,0,Exec-managerial
0,30,0,Exec-managerial
1,29,0,Prof-specialty
0,19,0,Other-service
1,47,1,Exec-managerial
0,20,1,Adm-clerical
1,31,0,Adm-clerical
0,35,0,?
0,39,0,Craft-repair
0,28,1,Sales
0,24,1,Other-service
0,38,0,Craft-repair
0,37,0,Sales
0,46,1,Tech-support
1,38,0,Prof-specialty
0,43,0,Craft-repair
0,27,1,Adm-clerical
0,20,0,Sales
1,49,0,Craft-repair
0,61,0,Craft-repair
0,27,1,Sales
0,19,0,Other-service
1,45,1,Prof-specialty
0,70,0,Tech-support
0,31,1,Transport-moving
0,22,0,Other-service
0,36,1,Other-service
0,64,0,Craft-repair
0,43,1,?
0,47,1,Adm-clerical
0,34,1,Adm-clerical
0,33,1,Exec-managerial
0,21,0,Craft-repair
1,52,0,?
0,48,0,Craft-repair
0,23,0,Handlers-cleaners
0,71,0,Sales
0,29,0,Craft-repair
0,42,0,Other-service
0,68,1,?
0,25,1,Other-service
0,44,1,Exec-managerial
0,28,1,Exec-managerial
1,45,0,Sales
0,36,1,Other-service
0,39,0,Exec-managerial
0,46,0,Protective-serv
0,18,0,Handlers-cleaners
0,66,1,Prof-specialty
0,27,0,Other-service
0,28,0,Protective-serv
1,51,0,Sales
0,27,0,Craft-repair
1,28,0,Prof-specialty
0,27,1,Sales
0,21,0,Craft-repair
0,34,0,Handlers-cleaners
0,18,0,Other-service
0,33,0,Prof-specialty
1,44,0,Exec-managerial
0,43,1,Adm-clerical
0,30,0,Craft-repair
1,40,0,Machine-op-inspct
1,37,0,Adm-clerical
0,34,0,Adm-clerical
0,41,1,Exec-managerial
0,53,1,?
0,31,1,Prof-specialty
1,58,0,Prof-specialty
0,38,1,Machine-op-inspct
0,24,0,Machine-op-inspct
0,41,0,Craft-repair
0,47,0,Tech-support
0,41,0,Tech-support
0,23,0,Transport-moving
0,36,0,Craft-repair
1,40,1,Exec-managerial
1,35,0,Prof-specialty
0,24,0,Sales
0,26,1,Prof-specialty
0,19,0,?
1,51,0,Exec-managerial
0,42,1,Prof-specialty
0,37,1,Adm-clerical
0,18,1,Sales
1,36,0,Other-service
0,35,0,Craft-repair
1,58,1,Sales
0,17,1,Sales
0,44,0,Transport-moving
1,37,0,Craft-repair
0,35,1,Sales
0,60,0,Craft-repair
1,54,0,Machine-op-inspct
1,37,0,Exec-managerial
0,50,1,Sales
0,38,0,Sales
0,45,0,Prof-specialty
0,25,0,Craft-repair
0,31,0,Handlers-cleaners
0,64,0,?
0,90,0,Other-service
0,54,0,Adm-clerical
0,53,1,Machine-op-inspct
0,18,1,Sales
0,60,1,?
0,66,0,Farming-fishing
0,75,1,Adm-clerical
0,65,1,Adm-clerical
0,35,0,Transport-moving
0,41,1,Sales
0,25,0,Adm-clerical
0,33,1,Craft-repair
1,28,0,Prof-specialty
0,59,0,Other-service
0,40,1,Adm-clerical
1,41,0,Exec-managerial
1,38,0,Exec-managerial
0,23,0,Transport-moving
1,40,0,Prof-specialty
0,41,1,Other-service
0,24,0,Protective-serv
0,20,0,?
0,38,0,Craft-repair
0,56,0,Adm-clerical
1,58,0,Adm-clerical
0,32,1,Other-service
1,40,0,Tech-support
0,45,0,Adm-clerical
1,41,1,Prof-specialty
0,42,1,Adm-clerical
0,59,1,Other-service
0,19,0,Adm-clerical
0,58,0,Transport-moving
1,42,0,Farming-fishing
0,20,1,Other-service
0,32,1,Other-service
0,45,1,Exec-managerial
0,50,0,Craft-repair
0,36,1,Prof-specialty
0,45,0,Sales
0,17,0,Other-service
0,59,0,Sales
0,26,0,Craft-repair
1,37,0,Exec-managerial
0,19,0,?
1,64,0,Exec-managerial
0,33,1,Prof-specialty
1,33,1,Craft-repair
1,61,0,Exec-managerial
0,17,0,Other-service
0,50,0,Farming-fishing
0,27,0,Prof-specialty
0,30,1,Prof-specialty
0,43,0,Handlers-cleaners
1,44,0,Craft-repair
0,35,1,Exec-managerial
0,25,1,Tech-support
1,24,1,Machine-op-inspct
0,22,1,Prof-specialty
1,42,0,Craft-repair
0,34,1,Sales
0,60,1,Prof-specialty
0,21,0,Handlers-cleaners
1,57,0,Sales
1,41,0,Prof-specialty
0,50,0,Other-service
0,25,1,Exec-managerial
0,50,0,Craft-repair
0,36,0,Prof-specialty
0,31,1,Prof-specialty
0,29,0,Protective-serv
0,21,0,Sales
0,27,1,Tech-support
0,65,0,Transport-moving
0,37,1,Sales
0,39,1,?
0,24,0,Craft-repair
0,38,0,Sales
1,48,0,Adm-clerical
0,21,1,Other-service
1,31,0,Transport-moving
1,55,0,Sales
0,24,1,Adm-clerical
0,43,1,Adm-clerical
0,26,0,Tech-support
0,46,1,Prof-specialty
1,35,0,Adm-clerical
1,41,0,Farming-fishing
0,26,0,Sales
1,34,0,Exec-managerial
0,19,1,?
1,36,1,Prof-specialty
0,22,0,Sales
0,24,0,Machine-op-inspct
0,77,0,Sales
0,22,1,Machine-op-inspct
0,29,1,Tech-support
0,62,1,Other-service
0,39,0,Exec-managerial
0,43,0,Craft-repair
0,35,0,Transport-moving
0,29,1,Exec-managerial
0,76,0,Craft-repair
0,63,0,Farming-fishing
0,23,1,?
1,43,1,Prof-specialty
0,58,0,Handlers-cleaners
0,66,0,Transport-moving
0,41,0,Craft-repair
0,26,0,Adm-clerical
0,47,0,Other-service
0,55,0,Adm-clerical
0,53,0,Transport-moving
0,17,0,Other-service
0,30,0,Craft-repair
0,49,0,Prof-specialty
0,19,0,Sales
0,45,0,Other-service
0,26,0,Sales
1,38,0,Craft-repair
1,36,0,Protective-serv
0,33,0,Farming-fishing
0,22,1,Protective-serv
0,43,0,Sales
0,67,0,?
0,30,1,?
0,56,0,Other-service
0,31,0,Prof-specialty
1,33,0,Exec-managerial
0,26,0,Other-service
1,33,0,Exec-managerial
0,46,0,Transport-moving
1,59,0,?
1,38,0,Adm-clerical
0,65,0,Other-service
1,40,0,Tech-support
0,42,1,Adm-clerical
